TIME,GEO,SEX,UNIT,AGE,C_BIRTH,Value,Flag and Footnotes
2006,Denmark,Total,Percentage,From 20 to 24 years,Total,6.1,
2006,Denmark,Total,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Total,Percentage,From 20 to 29 years,Reporting country,5.3,
2006,Denmark,Total,Percentage,From 20 to 29 years,Total,5.6,
2006,Denmark,Total,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Total,Percentage,From 25 to 29 years,Reporting country,4.8,
2006,Denmark,Total,Percentage,From 25 to 29 years,Total,5.1,
2006,Denmark,Males,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,u
2006,Denmark,Males,Percentage,From 15 to 19 years,Reporting country,10.7,
2006,Denmark,Males,Percentage,From 15 to 19 years,Total,10.8,
2006,Denmark,Males,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,u
2006,Denmark,Males,Percentage,From 15 to 24 years,Reporting country,7.9,
2006,Denmark,Males,Percentage,From 15 to 24 years,Total,7.9,
2006,Denmark,Males,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Males,Percentage,From 15 to 29 years,Reporting country,6.3,
2006,Denmark,Males,Percentage,From 15 to 29 years,Total,6.4,
2006,Denmark,Males,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,u
2006,Denmark,Males,Percentage,From 20 to 24 years,Reporting country,5.4,
2006,Denmark,Males,Percentage,From 20 to 24 years,Total,5.4,
2006,Denmark,Males,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Males,Percentage,From 20 to 29 years,Reporting country,4.6,
2006,Denmark,Males,Percentage,From 20 to 29 years,Total,4.7,
2006,Denmark,Males,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Denmark,Males,Percentage,From 25 to 29 years,Reporting country,3.9,
2006,Denmark,Males,Percentage,From 25 to 29 years,Total,4.3,
2006,Denmark,Females,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Denmark,Females,Percentage,From 15 to 19 years,Reporting country,8.2,
2006,Denmark,Females,Percentage,From 15 to 19 years,Total,8.1,
2006,Denmark,Females,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Denmark,Females,Percentage,From 15 to 24 years,Reporting country,7.2,
2006,Denmark,Females,Percentage,From 15 to 24 years,Total,7.5,
2006,Denmark,Females,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Females,Percentage,From 15 to 29 years,Reporting country,6.7,
2006,Denmark,Females,Percentage,From 15 to 29 years,Total,6.9,
2006,Denmark,Females,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Denmark,Females,Percentage,From 20 to 24 years,Reporting country,6.3,
2006,Denmark,Females,Percentage,From 20 to 24 years,Total,6.9,
2006,Denmark,Females,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Females,Percentage,From 20 to 29 years,Reporting country,6.1,
2006,Denmark,Females,Percentage,From 20 to 29 years,Total,6.4,
2006,Denmark,Females,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Females,Percentage,From 25 to 29 years,Reporting country,5.9,
2006,Denmark,Females,Percentage,From 25 to 29 years,Total,6.1,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 19 years,Reporting country,13.6,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 19 years,Total,14.4,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 24 years,Reporting country,13.2,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 24 years,Total,13.8,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 29 years,Reporting country,12,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 15 to 29 years,Total,12.8,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 20 to 24 years,Reporting country,13,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 20 to 24 years,Total,13.5,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 20 to 29 years,Reporting country,11.6,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 20 to 29 years,Total,12.4,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 25 to 29 years,Reporting country,10.4,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage,From 25 to 29 years,Total,11.5,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 19 years,Reporting country,13.3,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 19 years,Total,14.4,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 24 years,Reporting country,14.1,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 24 years,Total,14.8,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 29 years,Reporting country,12.9,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 15 to 29 years,Total,13.7,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 20 to 24 years,Reporting country,14.5,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 20 to 24 years,Total,15,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 20 to 29 years,Reporting country,12.8,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 20 to 29 years,Total,13.5,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 25 to 29 years,Reporting country,11.3,
2006,Germany (until 1990 former territory of the FRG),Males,Percentage,From 25 to 29 years,Total,12.3,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 19 years,Reporting country,14,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 19 years,Total,14.3,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 24 years,Reporting country,12.1,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 24 years,Total,12.6,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 29 years,Reporting country,10.9,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 15 to 29 years,Total,11.7,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 20 to 24 years,Reporting country,11.3,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 20 to 24 years,Total,11.8,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 20 to 29 years,Reporting country,10.3,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 20 to 29 years,Total,11.2,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 25 to 29 years,Reporting country,9.4,
2006,Germany (until 1990 former territory of the FRG),Females,Percentage,From 25 to 29 years,Total,10.6,
2006,Estonia,Total,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Estonia,Total,Percentage,From 15 to 19 years,Reporting country,27,u
2006,Estonia,Total,Percentage,From 15 to 19 years,Total,27.7,u
2006,Estonia,Total,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Estonia,Total,Percentage,From 15 to 24 years,Reporting country,11.8,
2006,Estonia,Total,Percentage,From 15 to 24 years,Total,12.1,
2006,Estonia,Total,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Total,Percentage,From 15 to 29 years,Reporting country,8,
2006,Estonia,Total,Percentage,From 15 to 29 years,Total,8.1,
2006,Estonia,Total,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Estonia,Total,Percentage,From 20 to 24 years,Reporting country,8.7,
2006,Estonia,Total,Percentage,From 20 to 24 years,Total,9,
2006,Estonia,Total,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Total,Percentage,From 20 to 29 years,Reporting country,6.3,
2006,Estonia,Total,Percentage,From 20 to 29 years,Total,6.5,
2006,Estonia,Total,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Total,Percentage,From 25 to 29 years,Reporting country,4.5,u
2006,Estonia,Total,Percentage,From 25 to 29 years,Total,4.6,u
2006,Estonia,Males,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Estonia,Males,Percentage,From 15 to 19 years,Reporting country,24.5,u
2006,Estonia,Males,Percentage,From 15 to 19 years,Total,24.5,u
2006,Estonia,Males,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Estonia,Males,Percentage,From 15 to 24 years,Reporting country,10,
2006,Estonia,Males,Percentage,From 15 to 24 years,Total,10,
2006,Estonia,Males,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Males,Percentage,From 15 to 29 years,Reporting country,7.4,
2006,Estonia,Males,Percentage,From 15 to 29 years,Total,7.2,
2006,Estonia,Males,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Estonia,Males,Percentage,From 20 to 24 years,Reporting country,6.8,u
2006,Estonia,Males,Percentage,From 20 to 24 years,Total,6.9,u
2006,Estonia,Males,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Males,Percentage,From 20 to 29 years,Reporting country,5.8,
2006,Estonia,Males,Percentage,From 20 to 29 years,Total,5.6,
2006,Estonia,Males,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Males,Percentage,From 25 to 29 years,Reporting country,5,u
2006,Estonia,Males,Percentage,From 25 to 29 years,Total,4.7,u
2006,Estonia,Females,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Estonia,Females,Percentage,From 15 to 19 years,Reporting country,:,u
2006,Estonia,Females,Percentage,From 15 to 19 years,Total,:,u
2006,Estonia,Females,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Estonia,Females,Percentage,From 15 to 24 years,Reporting country,14.2,
2006,Estonia,Females,Percentage,From 15 to 24 years,Total,15.1,
2006,Estonia,Females,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Females,Percentage,From 15 to 29 years,Reporting country,8.7,
2006,Estonia,Females,Percentage,From 15 to 29 years,Total,9.3,
2006,Estonia,Females,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Estonia,Females,Percentage,From 20 to 24 years,Reporting country,11.2,u
2006,Estonia,Females,Percentage,From 20 to 24 years,Total,12,u
2006,Estonia,Females,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Females,Percentage,From 20 to 29 years,Reporting country,7,
2006,Estonia,Females,Percentage,From 20 to 29 years,Total,7.6,
2006,Estonia,Females,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Estonia,Females,Percentage,From 25 to 29 years,Reporting country,:,u
2006,Estonia,Females,Percentage,From 25 to 29 years,Total,:,u
2006,Ireland,Total,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,u
2006,Ireland,Total,Percentage,From 15 to 19 years,Reporting country,12.8,
2006,Ireland,Total,Percentage,From 15 to 19 years,Total,13.2,
2006,Ireland,Total,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,u
2006,Ireland,Total,Percentage,From 15 to 24 years,Reporting country,8.6,
2006,Ireland,Total,Percentage,From 15 to 24 years,Total,8.6,
2006,Ireland,Total,Percentage,From 15 to 29 years,EU15-countries except reporting country,7.5,u
2006,Ireland,Total,Percentage,From 15 to 29 years,Reporting country,6.8,
2006,Ireland,Total,Percentage,From 15 to 29 years,Total,6.8,
2006,Ireland,Total,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,u
2006,Ireland,Total,Percentage,From 20 to 24 years,Reporting country,7.1,
2006,Ireland,Total,Percentage,From 20 to 24 years,Total,7.1,
2006,Ireland,Total,Percentage,From 20 to 29 years,EU15-countries except reporting country,6.3,u
2006,Ireland,Total,Percentage,From 20 to 29 years,Reporting country,5.8,
2006,Ireland,Total,Percentage,From 20 to 29 years,Total,5.9,
2006,Ireland,Total,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,u
2006,Ireland,Total,Percentage,From 25 to 29 years,Reporting country,4.6,
2006,Ireland,Total,Percentage,From 25 to 29 years,Total,4.9,
2006,Ireland,Males,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,u
2006,Ireland,Males,Percentage,From 15 to 19 years,Reporting country,12.9,
2006,Ireland,Males,Percentage,From 15 to 19 years,Total,13.4,
2006,Ireland,Males,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,u
2006,Ireland,Males,Percentage,From 15 to 24 years,Reporting country,9.4,
