TIME,GEO,UNIT,NA_ITEM,Value,Flag and Footnotes
2007,Spain,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,108,450.00",
2007,Spain,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.5,
2007,France,"Current prices, million euro",Gross domestic product at market prices,"1,945,670.00",
2007,France,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"2,015,415.00",
2007,France,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.8,
2007,Croatia,"Current prices, million euro",Gross domestic product at market prices,"43,925.80",
2007,Croatia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"48,438.60",
2007,Croatia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,107.6,
2007,Italy,"Current prices, million euro",Gross domestic product at market prices,"1,609,550.80",
2007,Italy,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,687,143.20",
2007,Italy,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,105.1,
2007,Cyprus,"Current prices, million euro",Gross domestic product at market prices,"17,453.80",
2007,Cyprus,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"18,572.60",
2007,Cyprus,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97.1,
2007,Latvia,"Current prices, million euro",Gross domestic product at market prices,"22,639.50",
2007,Latvia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"22,369.70",
2007,Latvia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,125.9,
2007,Lithuania,"Current prices, million euro",Gross domestic product at market prices,"29,040.70",
2007,Lithuania,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"31,542.00",
2007,Lithuania,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,112.5,
2007,Luxembourg,"Current prices, million euro",Gross domestic product at market prices,"36,766.10",
2007,Luxembourg,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"39,863.80",
2007,Luxembourg,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.9,
2007,Hungary,"Current prices, million euro",Gross domestic product at market prices,"101,605.90",
2007,Hungary,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"103,447.90",
2007,Hungary,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,105.3,
2007,Malta,"Current prices, million euro",Gross domestic product at market prices,"5,757.50",
2007,Malta,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"6,323.00",
2007,Malta,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,95.8,
2007,Netherlands,"Current prices, million euro",Gross domestic product at market prices,"613,280.00",
2007,Netherlands,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"636,346.90",
2007,Netherlands,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.8,
2007,Austria,"Current prices, million euro",Gross domestic product at market prices,"282,346.90",
2007,Austria,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"295,889.40",
2007,Austria,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.4,
2007,Poland,"Current prices, million euro",Gross domestic product at market prices,"313,654.10",
2007,Poland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"326,958.00",
2007,Poland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,90.4,
2007,Portugal,"Current prices, million euro",Gross domestic product at market prices,"175,467.70",
2007,Portugal,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"181,635.30",
2007,Portugal,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.9,
2007,Romania,"Current prices, million euro",Gross domestic product at market prices,"125,403.40",
2007,Romania,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"127,101.40",
2007,Romania,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.3,
2007,Slovenia,"Current prices, million euro",Gross domestic product at market prices,"35,152.60",
2007,Slovenia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"37,596.70",
2007,Slovenia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,103.7,
2007,Slovakia,"Current prices, million euro",Gross domestic product at market prices,"56,090.60",
2007,Slovakia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"64,223.90",
2007,Slovakia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,95.3,
2007,Finland,"Current prices, million euro",Gross domestic product at market prices,"186,584.00",
2007,Finland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"196,623.00",
2007,Finland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,105.1,
2007,Sweden,"Current prices, million euro",Gross domestic product at market prices,"356,434.30",
2007,Sweden,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"369,320.50",
2007,Sweden,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.1,
2007,United Kingdom,"Current prices, million euro",Gross domestic product at market prices,"2,168,911.70",
2007,United Kingdom,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,872,705.80",
2007,United Kingdom,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,103.3,
2007,Iceland,"Current prices, million euro",Gross domestic product at market prices,"15,565.20",
2007,Iceland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"10,717.70",
2007,Iceland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,107.2,
2007,Norway,"Current prices, million euro",Gross domestic product at market prices,"293,128.00",
2007,Norway,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"325,704.30",
2007,Norway,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.7,
2007,Switzerland,"Current prices, million euro",Gross domestic product at market prices,"348,864.90",
2007,Switzerland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"426,118.90",
2007,Switzerland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97,
2007,Montenegro,"Current prices, million euro",Gross domestic product at market prices,:,
2007,Montenegro,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,:,
2007,Montenegro,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,:,
2007,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Gross domestic product at market prices,"6,094.50",
2007,"Former Yugoslav Republic of Macedonia, the","Chain linked volumes (2010), million euro",Gross domestic product at market prices,"6,544.00",
2007,"Former Yugoslav Republic of Macedonia, the","Chain linked volumes, index 2010=100",Gross domestic product at market prices,92.1,
2007,Albania,"Current prices, million euro",Gross domestic product at market prices,:,
2007,Albania,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,:,
2007,Albania,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,:,
2007,Serbia,"Current prices, million euro",Gross domestic product at market prices,"29,451.60",
2007,Serbia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"28,989.40",
2007,Serbia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97.4,
2007,Kosovo (under United Nations Security Council Resolution 1244/99),"Current prices, million euro",Gross domestic product at market prices,:,
2007,Kosovo (under United Nations Security Council Resolution 1244/99),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,:,
2007,Kosovo (under United Nations Security Council Resolution 1244/99),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,:,
2008,European Union (28 countries),"Current prices, million euro",Gross domestic product at market prices,"12,995,761.50",
2008,European Union (28 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"13,108,526.40",
2008,European Union (28 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.5,
2008,European Union (15 countries),"Current prices, million euro",Gross domestic product at market prices,"11,933,432.40",
2008,European Union (15 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"12,075,236.90",
2008,European Union (15 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.5,
2008,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro",Gross domestic product at market prices,"9,494,559.90",
2008,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,657,715.70",
2008,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.6,
2008,Euro area (19 countries),"Current prices, million euro",Gross domestic product at market prices,"9,633,931.20",
2008,Euro area (19 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,796,776.70",
2008,Euro area (19 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.6,
2008,Euro area (18 countries),"Current prices, million euro",Gross domestic product at market prices,"9,601,234.90",
2008,Euro area (18 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,764,312.90",
2008,Euro area (18 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.6,
2008,Euro area (12 countries),"Current prices, million euro",Gross domestic product at market prices,"9,431,658.00",
2008,Euro area (12 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,593,085.70",
2008,Euro area (12 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.5,
2008,Belgium,"Current prices, million euro",Gross domestic product at market prices,"354,066.00",
2008,Belgium,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"363,833.50",
2008,Belgium,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,99.7,
2008,Bulgaria,"Current prices, million euro",Gross domestic product at market prices,"37,373.30",
2008,Bulgaria,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"39,364.30",
2008,Bulgaria,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,104.3,
2008,Czech Republic,"Current prices, million euro",Gross domestic product at market prices,"160,961.50",
2008,Czech Republic,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"160,639.20",
2008,Czech Republic,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.7,
2008,Denmark,"Current prices, million euro",Gross domestic product at market prices,"241,087.30",
2008,Denmark,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"250,394.60",
2008,Denmark,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,103.7,
2008,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Gross domestic product at market prices,"2,561,740.00",
2008,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"2,626,501.10",
2008,Germany (until 1990 former territory of the FRG),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,101.8,
2008,Estonia,"Current prices, million euro",Gross domestic product at market prices,"16,517.30",
2008,Estonia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"16,845.00",
2008,Estonia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,114.4,
2008,Ireland,"Current prices, million euro",Gross domestic product at market prices,"187,547.20",
2008,Ireland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"175,386.70",
2008,Ireland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,105.6,
2008,Greece,"Current prices, million euro",Gross domestic product at market prices,"241,990.40",
2008,Greece,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"249,880.40",
2008,Greece,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,110.6,
2008,Spain,"Current prices, million euro",Gross domestic product at market prices,"1,116,207.00",
2008,Spain,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,120,820.00",
2008,Spain,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,103.7,
2008,France,"Current prices, million euro",Gross domestic product at market prices,"1,995,850.00",
2008,France,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"2,019,351.00",
2008,France,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,101,
2008,Croatia,"Current prices, million euro",Gross domestic product at market prices,"48,129.80",
2008,Croatia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"49,433.20",
2008,Croatia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,109.8,
2008,Italy,"Current prices, million euro",Gross domestic product at market prices,"1,632,150.80",
2008,Italy,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,669,421.40",
2008,Italy,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,104,
2008,Cyprus,"Current prices, million euro",Gross domestic product at market prices,"18,822.00",
2008,Cyprus,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"19,251.00",
