"TIME","GEO","SEX","WSTATUS","UNIT","AGE","Value","Flag and Footnotes"
"2006","Italy","Females","Population","Percentage","From 18 to 24 years","17.0","b"
"2006","Cyprus","Total","Population","Percentage","From 18 to 24 years","14.9","b"
"2006","Cyprus","Males","Population","Percentage","From 18 to 24 years","22.5","b"
"2006","Cyprus","Females","Population","Percentage","From 18 to 24 years","8.2","b"
"2006","Latvia","Total","Population","Percentage","From 18 to 24 years","15.6","b"
"2006","Latvia","Males","Population","Percentage","From 18 to 24 years","19.3","b"
"2006","Latvia","Females","Population","Percentage","From 18 to 24 years","11.5","b"
"2006","Lithuania","Total","Population","Percentage","From 18 to 24 years","8.8","b"
"2006","Lithuania","Males","Population","Percentage","From 18 to 24 years","11.5","bu"
"2006","Lithuania","Females","Population","Percentage","From 18 to 24 years","6.0","bu"
"2006","Luxembourg","Total","Population","Percentage","From 18 to 24 years","14.0","b"
"2006","Luxembourg","Males","Population","Percentage","From 18 to 24 years","17.6","b"
"2006","Luxembourg","Females","Population","Percentage","From 18 to 24 years","10.4","b"
"2006","Hungary","Total","Population","Percentage","From 18 to 24 years","12.5","b"
"2006","Hungary","Males","Population","Percentage","From 18 to 24 years","13.7","b"
"2006","Hungary","Females","Population","Percentage","From 18 to 24 years","11.3","b"
"2006","Malta","Total","Population","Percentage","From 18 to 24 years","32.2","b"
"2006","Malta","Males","Population","Percentage","From 18 to 24 years","36.1","b"
"2006","Malta","Females","Population","Percentage","From 18 to 24 years","28.1","b"
"2006","Netherlands","Total","Population","Percentage","From 18 to 24 years","12.6","b"
"2006","Netherlands","Males","Population","Percentage","From 18 to 24 years","15.1","b"
"2006","Netherlands","Females","Population","Percentage","From 18 to 24 years","10.1","b"
"2006","Austria","Total","Population","Percentage","From 18 to 24 years","10.0","b"
"2006","Austria","Males","Population","Percentage","From 18 to 24 years","10.3","b"
"2006","Austria","Females","Population","Percentage","From 18 to 24 years","9.8","b"
"2006","Poland","Total","Population","Percentage","From 18 to 24 years","5.4",""
"2006","Poland","Males","Population","Percentage","From 18 to 24 years","6.9",""
"2006","Poland","Females","Population","Percentage","From 18 to 24 years","3.9",""
"2006","Portugal","Total","Population","Percentage","From 18 to 24 years","38.5","b"
"2006","Portugal","Males","Population","Percentage","From 18 to 24 years","46.1","b"
"2006","Portugal","Females","Population","Percentage","From 18 to 24 years","30.7","b"
"2006","Romania","Total","Population","Percentage","From 18 to 24 years","17.9","b"
"2006","Romania","Males","Population","Percentage","From 18 to 24 years","17.8","b"
"2006","Romania","Females","Population","Percentage","From 18 to 24 years","18.0","b"
"2006","Slovenia","Total","Population","Percentage","From 18 to 24 years","5.6","b"
"2006","Slovenia","Males","Population","Percentage","From 18 to 24 years","7.1","b"
"2006","Slovenia","Females","Population","Percentage","From 18 to 24 years","4.0","bu"
"2006","Slovakia","Total","Population","Percentage","From 18 to 24 years","6.6","b"
"2006","Slovakia","Males","Population","Percentage","From 18 to 24 years","7.3","b"
"2006","Slovakia","Females","Population","Percentage","From 18 to 24 years","5.8","b"
"2006","Finland","Total","Population","Percentage","From 18 to 24 years","9.7",""
"2006","Finland","Males","Population","Percentage","From 18 to 24 years","11.8",""
"2006","Finland","Females","Population","Percentage","From 18 to 24 years","7.8",""
"2006","Sweden","Total","Population","Percentage","From 18 to 24 years","8.6","b"
"2006","Sweden","Males","Population","Percentage","From 18 to 24 years","10.1","b"
"2006","Sweden","Females","Population","Percentage","From 18 to 24 years","7.1","b"
"2006","United Kingdom","Total","Population","Percentage","From 18 to 24 years","11.3",""
"2006","United Kingdom","Males","Population","Percentage","From 18 to 24 years","12.3",""
"2006","United Kingdom","Females","Population","Percentage","From 18 to 24 years","10.2",""
"2006","Iceland","Total","Population","Percentage","From 18 to 24 years","25.6","u"
"2006","Iceland","Males","Population","Percentage","From 18 to 24 years","29.0","u"
"2006","Iceland","Females","Population","Percentage","From 18 to 24 years","21.8","u"
"2006","Norway","Total","Population","Percentage","From 18 to 24 years","17.8","b"
"2006","Norway","Males","Population","Percentage","From 18 to 24 years","22.5","b"
"2006","Norway","Females","Population","Percentage","From 18 to 24 years","13.1","b"
"2006","Switzerland","Total","Population","Percentage","From 18 to 24 years","9.6",""
"2006","Switzerland","Males","Population","Percentage","From 18 to 24 years","10.7",""
"2006","Switzerland","Females","Population","Percentage","From 18 to 24 years","8.4",""
"2006","Former Yugoslav Republic of Macedonia, the","Total","Population","Percentage","From 18 to 24 years","22.8",""
"2006","Former Yugoslav Republic of Macedonia, the","Males","Population","Percentage","From 18 to 24 years","19.9",""
"2006","Former Yugoslav Republic of Macedonia, the","Females","Population","Percentage","From 18 to 24 years","25.9",""
"2006","Turkey","Total","Population","Percentage","From 18 to 24 years","48.8","b"
"2006","Turkey","Males","Population","Percentage","From 18 to 24 years","41.3","b"
"2006","Turkey","Females","Population","Percentage","From 18 to 24 years","55.6","b"
"2007","European Union (28 countries)","Total","Population","Percentage","From 18 to 24 years","14.9",""
"2007","European Union (28 countries)","Males","Population","Percentage","From 18 to 24 years","16.9",""
"2007","European Union (28 countries)","Females","Population","Percentage","From 18 to 24 years","12.8",""
"2007","European Union (27 countries)","Total","Population","Percentage","From 18 to 24 years","15.0",""
"2007","European Union (27 countries)","Males","Population","Percentage","From 18 to 24 years","17.0",""
"2007","European Union (27 countries)","Females","Population","Percentage","From 18 to 24 years","12.9",""
"2007","European Union (15 countries)","Total","Population","Percentage","From 18 to 24 years","16.8",""
"2007","European Union (15 countries)","Males","Population","Percentage","From 18 to 24 years","19.2",""
"2007","European Union (15 countries)","Females","Population","Percentage","From 18 to 24 years","14.3",""
"2007","Euro area (19 countries)","Total","Population","Percentage","From 18 to 24 years","16.7",""
"2007","Euro area (19 countries)","Males","Population","Percentage","From 18 to 24 years","19.4",""
"2007","Euro area (19 countries)","Females","Population","Percentage","From 18 to 24 years","13.9",""
"2007","Euro area (18 countries)","Total","Population","Percentage","From 18 to 24 years","16.8",""
"2007","Euro area (18 countries)","Males","Population","Percentage","From 18 to 24 years","19.5",""
"2007","Euro area (18 countries)","Females","Population","Percentage","From 18 to 24 years","14.0",""
"2007","Euro area (17 countries)","Total","Population","Percentage","From 18 to 24 years","16.8",""
"2007","Euro area (17 countries)","Males","Population","Percentage","From 18 to 24 years","19.5",""
"2007","Euro area (17 countries)","Females","Population","Percentage","From 18 to 24 years","14.0",""
"2007","Belgium","Total","Population","Percentage","From 18 to 24 years","12.1",""
"2007","Belgium","Males","Population","Percentage","From 18 to 24 years","13.9",""
"2007","Belgium","Females","Population","Percentage","From 18 to 24 years","10.3",""
"2007","Bulgaria","Total","Population","Percentage","From 18 to 24 years","14.9",""
"2007","Bulgaria","Males","Population","Percentage","From 18 to 24 years","15.2",""
"2007","Bulgaria","Females","Population","Percentage","From 18 to 24 years","14.7",""
"2007","Czech Republic","Total","Population","Percentage","From 18 to 24 years","5.2",""
"2007","Czech Republic","Males","Population","Percentage","From 18 to 24 years","5.7",""
"2007","Czech Republic","Females","Population","Percentage","From 18 to 24 years","4.7",""
"2007","Denmark","Total","Population","Percentage","From 18 to 24 years","12.9","b"
"2007","Denmark","Males","Population","Percentage","From 18 to 24 years","16.2","b"
"2007","Denmark","Females","Population","Percentage","From 18 to 24 years","9.5","b"
"2007","Germany (until 1990 former territory of the FRG)","Total","Population","Percentage","From 18 to 24 years","12.5",""
"2007","Germany (until 1990 former territory of the FRG)","Males","Population","Percentage","From 18 to 24 years","13.1",""
"2007","Germany (until 1990 former territory of the FRG)","Females","Population","Percentage","From 18 to 24 years","11.9",""
"2007","Estonia","Total","Population","Percentage","From 18 to 24 years","14.4",""
"2007","Estonia","Males","Population","Percentage","From 18 to 24 years","21.4",""
"2007","Estonia","Females","Population","Percentage","From 18 to 24 years","7.2",""
"2007","Ireland","Total","Population","Percentage","From 18 to 24 years","11.8","b"
"2007","Ireland","Males","Population","Percentage","From 18 to 24 years","14.9","b"
"2007","Ireland","Females","Population","Percentage","From 18 to 24 years","8.6","b"
"2007","Greece","Total","Population","Percentage","From 18 to 24 years","14.3",""
"2007","Greece","Males","Population","Percentage","From 18 to 24 years","18.2",""
"2007","Greece","Females","Population","Percentage","From 18 to 24 years","10.3",""
"2007","Spain","Total","Population","Percentage","From 18 to 24 years","30.8",""
"2007","Spain","Males","Population","Percentage","From 18 to 24 years","36.6",""
"2007","Spain","Females","Population","Percentage","From 18 to 24 years","24.7",""
"2007","France","Total","Population","Percentage","From 18 to 24 years","12.8",""
"2007","France","Males","Population","Percentage","From 18 to 24 years","15.2",""
"2007","France","Females","Population","Percentage","From 18 to 24 years","10.5",""
"2007","Croatia","Total","Population","Percentage","From 18 to 24 years","4.5",""
"2007","Croatia","Males","Population","Percentage","From 18 to 24 years","6.1",""
"2007","Croatia","Females","Population","Percentage","From 18 to 24 years","2.9","u"
"2007","Italy","Total","Population","Percentage","From 18 to 24 years","19.5",""
"2007","Italy","Males","Population","Percentage","From 18 to 24 years","22.6",""
"2007","Italy","Females","Population","Percentage","From 18 to 24 years","16.4",""
"2007","Cyprus","Total","Population","Percentage","From 18 to 24 years","12.5",""
"2007","Cyprus","Males","Population","Percentage","From 18 to 24 years","19.5",""
"2007","Cyprus","Females","Population","Percentage","From 18 to 24 years","6.8",""
"2007","Latvia","Total","Population","Percentage","From 18 to 24 years","15.6",""
"2007","Latvia","Males","Population","Percentage","From 18 to 24 years","20.6",""
"2007","Latvia","Females","Population","Percentage","From 18 to 24 years","10.5",""
"2007","Lithuania","Total","Population","Percentage","From 18 to 24 years","7.8",""
"2007","Lithuania","Males","Population","Percentage","From 18 to 24 years","10.1","u"
"2007","Lithuania","Females","Population","Percentage","From 18 to 24 years","5.5","u"
"2007","Luxembourg","Total","Population","Percentage","From 18 to 24 years","12.5","b"
"2007","Luxembourg","Males","Population","Percentage","From 18 to 24 years","16.6","b"
"2007","Luxembourg","Females","Population","Percentage","From 18 to 24 years","8.4","b"
"2007","Hungary","Total","Population","Percentage","From 18 to 24 years","11.4",""
"2007","Hungary","Males","Population","Percentage","From 18 to 24 years","12.5",""
"2007","Hungary","Females","Population","Percentage","From 18 to 24 years","10.2",""
"2007","Malta","Total","Population","Percentage","From 18 to 24 years","30.2",""
"2007","Malta","Males","Population","Percentage","From 18 to 24 years","34.8",""
"2007","Malta","Females","Population","Percentage","From 18 to 24 years","25.3",""
"2007","Netherlands","Total","Population","Percentage","From 18 to 24 years","11.7",""
"2007","Netherlands","Males","Population","Percentage","From 18 to 24 years","14.0",""
"2007","Netherlands","Females","Population","Percentage","From 18 to 24 years","9.3",""
"2007","Austria","Total","Population","Percentage","From 18 to 24 years","10.8",""
"2007","Austria","Males","Population","Percentage","From 18 to 24 years","11.5",""
"2007","Austria","Females","Population","Percentage","From 18 to 24 years","10.2",""
"2007","Poland","Total","Population","Percentage","From 18 to 24 years","5.0",""
"2007","Poland","Males","Population","Percentage","From 18 to 24 years","6.2",""
"2007","Poland","Females","Population","Percentage","From 18 to 24 years","3.8",""
"2007","Portugal","Total","Population","Percentage","From 18 to 24 years","36.5",""
"2007","Portugal","Males","Population","Percentage","From 18 to 24 years","42.8",""
"2007","Portugal","Females","Population","Percentage","From 18 to 24 years","30.0",""
"2007","Romania","Total","Population","Percentage","From 18 to 24 years","17.3",""
"2007","Romania","Males","Population","Percentage","From 18 to 24 years","17.1",""
"2007","Romania","Females","Population","Percentage","From 18 to 24 years","17.4",""
"2007","Slovenia","Total","Population","Percentage","From 18 to 24 years","4.1",""
"2007","Slovenia","Males","Population","Percentage","From 18 to 24 years","5.8",""
"2007","Slovenia","Females","Population","Percentage","From 18 to 24 years","2.2","u"
"2007","Slovakia","Total","Population","Percentage","From 18 to 24 years","6.5",""
"2007","Slovakia","Males","Population","Percentage","From 18 to 24 years","7.2",""
"2007","Slovakia","Females","Population","Percentage","From 18 to 24 years","5.8",""
"2007","Finland","Total","Population","Percentage","From 18 to 24 years","9.1",""
"2007","Finland","Males","Population","Percentage","From 18 to 24 years","11.2",""
"2007","Finland","Females","Population","Percentage","From 18 to 24 years","7.2",""
"2007","Sweden","Total","Population","Percentage","From 18 to 24 years","8.0","b"
"2007","Sweden","Males","Population","Percentage","From 18 to 24 years","9.5","b"
"2007","Sweden","Females","Population","Percentage","From 18 to 24 years","6.5","b"
"2007","United Kingdom","Total","Population","Percentage","From 18 to 24 years","16.6","b"
"2007","United Kingdom","Males","Population","Percentage","From 18 to 24 years","17.6","b"
"2007","United Kingdom","Females","Population","Percentage","From 18 to 24 years","15.6","b"
"2007","Iceland","Total","Population","Percentage","From 18 to 24 years","23.2",""
"2007","Iceland","Males","Population","Percentage","From 18 to 24 years","27.2",""
"2007","Iceland","Females","Population","Percentage","From 18 to 24 years","18.7",""
"2007","Norway","Total","Population","Percentage","From 18 to 24 years","18.4",""
"2007","Norway","Males","Population","Percentage","From 18 to 24 years","22.7",""
"2007","Norway","Females","Population","Percentage","From 18 to 24 years","14.1",""
"2007","Switzerland","Total","Population","Percentage","From 18 to 24 years","7.6",""
"2007","Switzerland","Males","Population","Percentage","From 18 to 24 years","8.5",""
"2007","Switzerland","Females","Population","Percentage","From 18 to 24 years","6.7",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Population","Percentage","From 18 to 24 years","19.9","b"
"2007","Former Yugoslav Republic of Macedonia, the","Males","Population","Percentage","From 18 to 24 years","17.9","b"
"2007","Former Yugoslav Republic of Macedonia, the","Females","Population","Percentage","From 18 to 24 years","22.0","b"
"2007","Turkey","Total","Population","Percentage","From 18 to 24 years","46.9",""
"2007","Turkey","Males","Population","Percentage","From 18 to 24 years","39.0",""
"2007","Turkey","Females","Population","Percentage","From 18 to 24 years","54.1",""
"2008","European Union (28 countries)","Total","Population","Percentage","From 18 to 24 years","14.7",""
"2008","European Union (28 countries)","Males","Population","Percentage","From 18 to 24 years","16.6",""
"2008","European Union (28 countries)","Females","Population","Percentage","From 18 to 24 years","12.7",""
"2008","European Union (27 countries)","Total","Population","Percentage","From 18 to 24 years","14.8",""
"2008","European Union (27 countries)","Males","Population","Percentage","From 18 to 24 years","16.8",""
"2008","European Union (27 countries)","Females","Population","Percentage","From 18 to 24 years","12.7",""
"2008","European Union (15 countries)","Total","Population","Percentage","From 18 to 24 years","16.5",""
"2008","European Union (15 countries)","Males","Population","Percentage","From 18 to 24 years","18.9",""
"2008","European Union (15 countries)","Females","Population","Percentage","From 18 to 24 years","14.1",""
"2008","Euro area (19 countries)","Total","Population","Percentage","From 18 to 24 years","16.3",""
"2008","Euro area (19 countries)","Males","Population","Percentage","From 18 to 24 years","18.9",""
"2008","Euro area (19 countries)","Females","Population","Percentage","From 18 to 24 years","13.6",""
"2008","Euro area (18 countries)","Total","Population","Percentage","From 18 to 24 years","16.4",""
"2008","Euro area (18 countries)","Males","Population","Percentage","From 18 to 24 years","19.0",""
"2008","Euro area (18 countries)","Females","Population","Percentage","From 18 to 24 years","13.7",""
"2008","Euro area (17 countries)","Total","Population","Percentage","From 18 to 24 years","16.4",""
"2008","Euro area (17 countries)","Males","Population","Percentage","From 18 to 24 years","19.0",""
"2008","Euro area (17 countries)","Females","Population","Percentage","From 18 to 24 years","13.8",""
"2008","Belgium","Total","Population","Percentage","From 18 to 24 years","12.0","b"
"2008","Belgium","Males","Population","Percentage","From 18 to 24 years","13.4","b"
"2008","Belgium","Females","Population","Percentage","From 18 to 24 years","10.6","b"
"2008","Bulgaria","Total","Population","Percentage","From 18 to 24 years","14.8",""
"2008","Bulgaria","Males","Population","Percentage","From 18 to 24 years","14.1",""
"2008","Bulgaria","Females","Population","Percentage","From 18 to 24 years","15.5",""
"2008","Czech Republic","Total","Population","Percentage","From 18 to 24 years","5.6",""
"2008","Czech Republic","Males","Population","Percentage","From 18 to 24 years","5.8",""
"2008","Czech Republic","Females","Population","Percentage","From 18 to 24 years","5.4",""
"2008","Denmark","Total","Population","Percentage","From 18 to 24 years","12.5",""
"2008","Denmark","Males","Population","Percentage","From 18 to 24 years","15.0",""
"2008","Denmark","Females","Population","Percentage","From 18 to 24 years","10.0",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Population","Percentage","From 18 to 24 years","11.8","b"
"2008","Germany (until 1990 former territory of the FRG)","Males","Population","Percentage","From 18 to 24 years","12.4","b"
"2008","Germany (until 1990 former territory of the FRG)","Females","Population","Percentage","From 18 to 24 years","11.2","b"
"2008","Estonia","Total","Population","Percentage","From 18 to 24 years","14.0",""
"2008","Estonia","Males","Population","Percentage","From 18 to 24 years","19.8",""
"2008","Estonia","Females","Population","Percentage","From 18 to 24 years","8.3",""
"2008","Ireland","Total","Population","Percentage","From 18 to 24 years","11.4",""
"2008","Ireland","Males","Population","Percentage","From 18 to 24 years","14.7",""
"2008","Ireland","Females","Population","Percentage","From 18 to 24 years","8.1",""
"2008","Greece","Total","Population","Percentage","From 18 to 24 years","14.4","b"
"2008","Greece","Males","Population","Percentage","From 18 to 24 years","18.0","b"
"2008","Greece","Females","Population","Percentage","From 18 to 24 years","10.6","b"
"2008","Spain","Total","Population","Percentage","From 18 to 24 years","31.7",""
"2008","Spain","Males","Population","Percentage","From 18 to 24 years","38.0",""
"2008","Spain","Females","Population","Percentage","From 18 to 24 years","25.1",""
"2008","France","Total","Population","Percentage","From 18 to 24 years","11.8",""
"2008","France","Males","Population","Percentage","From 18 to 24 years","13.8",""
"2008","France","Females","Population","Percentage","From 18 to 24 years","9.9",""
"2008","Croatia","Total","Population","Percentage","From 18 to 24 years","4.4",""
"2008","Croatia","Males","Population","Percentage","From 18 to 24 years","5.1","u"
"2008","Croatia","Females","Population","Percentage","From 18 to 24 years","3.7","u"
"2008","Italy","Total","Population","Percentage","From 18 to 24 years","19.6",""
"2008","Italy","Males","Population","Percentage","From 18 to 24 years","22.4",""
"2008","Italy","Females","Population","Percentage","From 18 to 24 years","16.7",""
"2008","Cyprus","Total","Population","Percentage","From 18 to 24 years","13.7",""
"2008","Cyprus","Males","Population","Percentage","From 18 to 24 years","19.0",""
"2008","Cyprus","Females","Population","Percentage","From 18 to 24 years","9.5",""
"2008","Latvia","Total","Population","Percentage","From 18 to 24 years","15.5",""
"2008","Latvia","Males","Population","Percentage","From 18 to 24 years","20.0",""
"2008","Latvia","Females","Population","Percentage","From 18 to 24 years","10.8",""
"2008","Lithuania","Total","Population","Percentage","From 18 to 24 years","7.5",""
"2008","Lithuania","Males","Population","Percentage","From 18 to 24 years","10.2","u"
"2008","Lithuania","Females","Population","Percentage","From 18 to 24 years","4.7","u"
"2008","Luxembourg","Total","Population","Percentage","From 18 to 24 years","13.4",""
"2008","Luxembourg","Males","Population","Percentage","From 18 to 24 years","15.8",""
"2008","Luxembourg","Females","Population","Percentage","From 18 to 24 years","10.9",""
"2008","Hungary","Total","Population","Percentage","From 18 to 24 years","11.7",""
"2008","Hungary","Males","Population","Percentage","From 18 to 24 years","12.4",""
"2008","Hungary","Females","Population","Percentage","From 18 to 24 years","11.0",""
"2008","Malta","Total","Population","Percentage","From 18 to 24 years","27.2",""
"2008","Malta","Males","Population","Percentage","From 18 to 24 years","31.1",""
"2008","Malta","Females","Population","Percentage","From 18 to 24 years","23.2",""
"2008","Netherlands","Total","Population","Percentage","From 18 to 24 years","11.4",""
"2008","Netherlands","Males","Population","Percentage","From 18 to 24 years","14.0",""
"2008","Netherlands","Females","Population","Percentage","From 18 to 24 years","8.8",""
"2008","Austria","Total","Population","Percentage","From 18 to 24 years","10.2",""
"2008","Austria","Males","Population","Percentage","From 18 to 24 years","10.4",""
"2008","Austria","Females","Population","Percentage","From 18 to 24 years","9.9",""
"2008","Poland","Total","Population","Percentage","From 18 to 24 years","5.0","b"
"2008","Poland","Males","Population","Percentage","From 18 to 24 years","6.1","b"
"2008","Poland","Females","Population","Percentage","From 18 to 24 years","3.9","b"
"2008","Portugal","Total","Population","Percentage","From 18 to 24 years","34.9",""
"2008","Portugal","Males","Population","Percentage","From 18 to 24 years","41.4",""
"2008","Portugal","Females","Population","Percentage","From 18 to 24 years","28.2",""
"2008","Romania","Total","Population","Percentage","From 18 to 24 years","15.9",""
"2008","Romania","Males","Population","Percentage","From 18 to 24 years","15.9",""
"2008","Romania","Females","Population","Percentage","From 18 to 24 years","16.0",""
"2008","Slovenia","Total","Population","Percentage","From 18 to 24 years","5.1",""
"2008","Slovenia","Males","Population","Percentage","From 18 to 24 years","7.2",""
"2008","Slovenia","Females","Population","Percentage","From 18 to 24 years","2.6","u"
"2008","Slovakia","Total","Population","Percentage","From 18 to 24 years","6.0",""
"2008","Slovakia","Males","Population","Percentage","From 18 to 24 years","7.1",""
"2008","Slovakia","Females","Population","Percentage","From 18 to 24 years","4.9",""
"2008","Finland","Total","Population","Percentage","From 18 to 24 years","9.8",""
"2008","Finland","Males","Population","Percentage","From 18 to 24 years","12.1",""
"2008","Finland","Females","Population","Percentage","From 18 to 24 years","7.7",""
"2008","Sweden","Total","Population","Percentage","From 18 to 24 years","7.9","b"
"2008","Sweden","Males","Population","Percentage","From 18 to 24 years","9.0","b"
"2008","Sweden","Females","Population","Percentage","From 18 to 24 years","6.8","b"
"2008","United Kingdom","Total","Population","Percentage","From 18 to 24 years","16.9","b"
"2008","United Kingdom","Males","Population","Percentage","From 18 to 24 years","18.2","b"
"2008","United Kingdom","Females","Population","Percentage","From 18 to 24 years","15.6","b"
"2008","Iceland","Total","Population","Percentage","From 18 to 24 years","24.4",""
"2008","Iceland","Males","Population","Percentage","From 18 to 24 years","26.2",""
"2008","Iceland","Females","Population","Percentage","From 18 to 24 years","22.4",""
"2008","Norway","Total","Population","Percentage","From 18 to 24 years","17.0",""
"2008","Norway","Males","Population","Percentage","From 18 to 24 years","21.0",""
"2008","Norway","Females","Population","Percentage","From 18 to 24 years","12.9",""
"2008","Switzerland","Total","Population","Percentage","From 18 to 24 years","7.7",""
"2008","Switzerland","Males","Population","Percentage","From 18 to 24 years","7.8",""
"2008","Switzerland","Females","Population","Percentage","From 18 to 24 years","7.5",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Population","Percentage","From 18 to 24 years","19.6",""
"2008","Former Yugoslav Republic of Macedonia, the","Males","Population","Percentage","From 18 to 24 years","17.6",""
"2008","Former Yugoslav Republic of Macedonia, the","Females","Population","Percentage","From 18 to 24 years","21.7",""
"2008","Turkey","Total","Population","Percentage","From 18 to 24 years","45.5",""
"2008","Turkey","Males","Population","Percentage","From 18 to 24 years","37.9",""
"2008","Turkey","Females","Population","Percentage","From 18 to 24 years","52.5",""
"2009","European Union (28 countries)","Total","Population","Percentage","From 18 to 24 years","14.2",""
"2009","European Union (28 countries)","Males","Population","Percentage","From 18 to 24 years","16.1",""
"2009","European Union (28 countries)","Females","Population","Percentage","From 18 to 24 years","12.3",""
"2009","European Union (27 countries)","Total","Population","Percentage","From 18 to 24 years","14.3",""
"2009","European Union (27 countries)","Males","Population","Percentage","From 18 to 24 years","16.2",""
"2009","European Union (27 countries)","Females","Population","Percentage","From 18 to 24 years","12.4",""
"2009","European Union (15 countries)","Total","Population","Percentage","From 18 to 24 years","15.8",""
"2009","European Union (15 countries)","Males","Population","Percentage","From 18 to 24 years","18.0",""
"2009","European Union (15 countries)","Females","Population","Percentage","From 18 to 24 years","13.5",""
"2009","Euro area (19 countries)","Total","Population","Percentage","From 18 to 24 years","15.7",""
"2009","Euro area (19 countries)","Males","Population","Percentage","From 18 to 24 years","18.2",""
"2009","Euro area (19 countries)","Females","Population","Percentage","From 18 to 24 years","13.2",""
"2009","Euro area (18 countries)","Total","Population","Percentage","From 18 to 24 years","15.8",""
